Register Name,Register Description,Register Address,Register Width,Register Access,Register Reset Value,Field Name,Field Description,Field Offset,Field Width,Field Access,Field Reset Value,Field IsReserved
"RXTXBUF","","0x00","8","RW","0x00","DATA","","0","8","","",""
"IER","","0x01","8","RW","0x00","RXDAT_ENA","","0","1","RW","",""
"IER","","","","","","TXEMTPTY_ENA","","1","1","RW","",""
"IER","","","","","","RXSTAT_ENA","","2","1","RW","",""
"IER","","","","","","MODSTAT_ENA","","3","1","RW","",""
"IER","","","","","","RESERVED","","7","4","RW","","TRUE"
"IIR","","0x02","8","RO","0xC1","PENDING_IRQ","","0","1","RO","",""
"IIR","","","","","","STATUS","","1","4","RO","0x0",""
"IIR","","","","","","TIED0","","4","2","RO","0x0",""
"IIR","","","","","","TIED1","","6","2","RO","0x3",""
"FCR","","0x02","8","WO","0xC0","CLEAR_RX_FIFO","","1","1","WO","0x0",""
"FCR","","","","","","CLEAR_TX_FIFO","","2","1","WO","0x0",""
"FCR","","","","","","SET_RX_IRQ_LEVEL","","7","2","WO","0x3",""
"LCR","","0x03","8","RW","0x03","SET_NO_OF_BITS","","0","2","RW","0x3",""
"LCR","","","","","","SET_NO_OF_STOPBITS","","2","1","RW","0x0",""
"LCR","","","","","","PARITY_ENA","","3","1","RW","0x0",""
"LCR","","","","","","SET_EVEN_PARITY","","4","1","RW","0x0",""
"LCR","","","","","","SET_STICKY_PARITY","","5","1","RW","0x0",""
"LCR","","","","","","SET_BREAK_CONTROL","","6","1","RW","0x0",""
"LCR","","","","","","SET_DIV_LATCH_ACCESS","","7","1","RW","0x0",""
"MCR","","0x4","8","WO","0x00","DTR","","0","1","WO","0x0",""
"MCR","","","","","","RTS","","1","1","WO","0x0",""
"MCR","","","","","","RI","","2","1","WO","0x0",""
"MCR","","","","","","DCD","","3","1","WO","0x0",""
"MCR","","","","","","LOOPBACK","","4","1","WO","0x0",""
"LSR","","0x5","8","RO","0x00","DATAREADY","","0","1","RC","0x0",""
"LSR","","","","","","OVERRUN_ERROR","","1","1","RC","0x0",""
"LSR","","","","","","PARITY_ERROR","","2","1","RC","0x0",""
"LSR","","","","","","FRAMING_ERROR","","3","1","RC","0x0",""
"LSR","","","","","","BREAK_INDICATION","","4","1","RC","0x0",""
"LSR","","","","","","TX_FIFO_IS_EMPTY","","5","1","RC","0x0",""
"LSR","","","","","","TX_EMPTY","","6","1","RC","0x0",""
"LSR","","","","","","ERROR","","7","1","RC","0x0",""
"MSR","","0x06","8","RO","0x00","DCTS","","0","1","RO","0x0",""
"MSR","","","","","","DDSR","","1","1","RO","0x0",""
"MSR","","","","","","TERI","","2","1","RO","0x0",""
"MSR","","","","","","DDCD","","3","1","RO","0x0",""
"MSR","","","","","","CTS_COMP","","4","1","RO","0x0",""
"MSR","","","","","","DSR_COMP","","5","1","RO","0x0",""
"MSR","","","","","","RI_COMP","","6","1","RO","0x0",""
"MSR","","","","","","DCD_COMP","","7","1","RO","0x0",""
